"","x"
"1",94.2015506483036
"2",94.1700021084712
"3",86.7042790136384
"4",78.8077292296172
"5",71.6544564368663
"6",65.3941136150233
"7",59.951763110705
"8",55.2111448917698
"9",51.0613980632145
"10",47.4076955414547
"11",44.1717053986926
"12",41.2893921295694
"13",38.7084363516864
"14",36.3859296665114
"15",34.286481328953
"16",32.3807122655865
"17",30.644071200145
"18",29.0559062652437
"19",27.5987353793137
"20",26.2576702242196
"21",25.0199588730109
"22",23.8746203389299
"23",22.8121506755891
"24",21.824285089203
"25",20.903804168089
"26",20.0443750801791
"27",19.2404206616559
"28",18.4870108900418
"29",17.7797724306282
"30",17.114812860436
"31",16.4886568787166
"32",15.8981923589636
"33",15.3406245228247
"34",14.8134368497348
"35",14.3143575989333
"36",13.8413310288749
"37",13.392492565089
"38",12.9661473005739
"39",12.5607513199184
"40",12.1748954250116
"41",11.8072909106443
"42",11.4567570958352
"43",11.1222103638825
"44",10.8026545029936
"45",10.4971721714645
"46",10.2049173380371
"47",9.9251085702725
"48",9.6570230623473
"49",9.39999130925249
"50",9.15339234748997
"51",8.91664949342947
"52",8.68922651986728
"53",8.47062421929366
"54",8.26037730916294
"55",8.05805164025807
"56",7.86324167420887
"57",7.6755682004881
"58",7.49467626688297
"59",7.3202333006092
"60",7.1519273999771
"61",6.98946577889709
"62",6.83257334857814
"63",6.68099142257232
"64",6.53447653288862
"65",6.39279934627252
"66",6.25574367095064
"67",6.12310554519571
"68",5.99469239999581
"69",5.87032228892982
"70",5.74982317907286
"71",5.63303229739398
"72",5.51979552767314
"73",5.40996685346588
"74",5.30340784308924
"75",5.19998717299834
"76",5.09958018627618
"77",5.00206848327365
"78",4.90733954171835
"79",4.81528636386212
"80",4.72580714846306
"81",4.63880498559948
"82",4.5541875724956
"83",4.47186694870142
"84",4.39175924911698
"85",4.31378447348323
"86",4.23786627108198
"87",4.16393173949504
"88",4.09191123637084
"89",4.02173820323524
"90",3.95334900046352
"91",3.88668275260363
"92",3.82168120330655
"93",3.75828857918033
"94",3.69645146193868
"95",3.63611866826521
"96",3.57724113685977
"97",3.51977182217492
"98",3.46366559438855
"99",3.40887914519321
"100",3.35537089901479
"101",3.30310092930174
"102",3.25203087955336
"103",3.20212388877938
"104",3.15334452110629
"105",3.10565869926581
"106",3.05903364172038
"107",3.01343780319765
"108",2.96884081842228
"109",2.92521344884811
"110",2.88252753220725
"111",2.84075593470556
"112",2.79987250570533
"113",2.75985203474706
"114",2.72067021077186
"115",2.68230358341543
"116",2.64472952625302
"117",2.60792620188277
"118",2.571872528742
"119",2.53654814955793
"120",2.50193340134066
"121",2.46800928683189
"122",2.43475744732869
"123",2.40216013680626
"124",2.37020019726858
"125",2.33886103526036
"126",2.30812659947735
"127",2.27798135941637
"128",2.24841028500974
"129",2.21939882719197
"130",2.19093289934998
"131",2.16299885961074
"132",2.13558349392306
"133",2.10867399989278
"134",2.08225797133279
"135",2.05632338349188
"136",2.03085857892807
"137",2.0058522539943
"138",1.98129344590608
"139",1.95717152036235
"140",1.9334761596925
"141",1.91019735150385
"142",1.88732537780556
"143",1.86485080458578
"144",1.84276447182075
"145",1.8210574838951
"146",1.79972120041404
"147",1.7787472273891
"148",1.75812740878007
"149",1.73785381837647
"150",1.71791875200324
"151",1.69831472003549
"152",1.67903444020854
"153",1.66007083070982
"154",1.64141700353986
"155",1.62306625813061
"156",1.60501207520943
"157",1.58724811089807
"158",1.56976819103629
"159",1.55256630572033
"160",1.53563660404688
"161",1.51897338905376
"162",1.50257111284891
"163",1.48642437191946
"164",1.47052790261359
"165",1.45487657678759
"166",1.43946539761133
"167",1.42428949552561
"168",1.40934412434495
"169",1.39462465749991
"170",1.38012658441324
"171",1.36584550700436
"172",1.35177713631698
"173",1.33791728926486
"174",1.32426188549111
"175",1.31080694433626
"176",1.29754858191104
"177",1.28448300826955
"178",1.27160652467894
"179",1.25891552098189
"180",1.24640647304811
"181",1.23407594031169
"182",1.22192056339066
"183",1.20993706178594
"184",1.19812223165637
"185",1.18647294366722
"186",1.17498614090908
"187",1.16365883688485
"188",1.15248811356194
"189",1.14147111948754
"190",1.13060506796446
"191",1.11988723528533
"192",1.1093149590231
"193",1.09888563637573
"194",1.08859672256305
"195",1.0784457292741
"196",1.06843022316284
"197",1.05854782439082
"198",1.04879620521484
"199",1.03917308861829
"200",1.02967624698437
"201",1.02030350080991
"202",1.01105271745824
"203",1.0019218099499
"204",0.992908735789681
"205",0.984011495828945
"206",0.97522813316186
"207",0.96655673205449
"208",0.957995416905564
"209",0.949542351237888
"210",0.941195736719343
"211",0.932953812212485
"212",0.924814852851792
"213",0.916777169147642
"214",0.908839106116123
"215",0.900999042433835
"216",0.893255389616861
"217",0.885606591223113
"218",0.878051122077296
"219",0.870587487517747
"220",0.86321422266446
"221",0.855929891707602
"222",0.848733087215861
"223",0.84162242946401
"224",0.834596565779061
"225",0.827654169904427
"226",0.820793941381528
"227",0.814014604948287
"228",0.807314909953994
"229",0.800693629790025
"230",0.794149561335931
"231",0.787681524420408
"232",0.781288361296712
"233",0.774968936132058
"234",0.768722134510588
"235",0.762546862949487
"236",0.756442048427856
"237",0.75040663792796
"238",0.744439597988465
"239",0.738539914269325
"240",0.732706591127956
"241",0.726938651206371
"242",0.721235135028948
"243",0.715595100610525
"244",0.710017623074499
"245",0.704501794280671
"246",0.699046722462517
"247",0.69365153187363
"248",0.688315362443079
"249",0.683037369439397
"250",0.677816723142979
"251",0.672652608526642
"252",0.667544224944102
"253",0.66249078582616
"254",0.657491518384375
"255",0.652545663322001
"256",0.647652474552006
"257",0.642811218921953
"258",0.638021175945569
"259",0.633281637540804
"260",0.628591907774206
"261",0.623951302611446
"262",0.619359149673803
"263",0.614814788000466
"264",0.610317567816491
"265",0.605866850306245
"266",0.601462007392207
"267",0.597102421518975
"268",0.592787485442325
"269",0.588516602023216
"270",0.584289184026579
"271",0.580104653924783
"272",0.575962443705644
"273",0.571861994684855
"274",0.567802757322738
"275",0.563784191045179
"276",0.559805764068652
"277",0.555866953229231
"278",0.551967243815464
"279",0.548106129405041
"280",0.544283111705118
"281",0.540497700396246
"282",0.53674941297978
"283",0.533037774628691
"284",0.529362318041699
"285",0.525722583300634
"286",0.522118117730947
"287",0.518548475765292
"288",0.515013218810105
"289",0.511511915115092
"290",0.508044139645573
"291",0.504609473957591
"292",0.501207506075735
"293",0.497837830373597
"294",0.494500047456799
"295",0.491193764048541
"296",0.487918592877587
"297",0.484674152568641
"298",0.481460067535066
"299",0.478275967873859
"300",0.475121489262858
"301",0.471996272860108
"302",0.468899965205347
"303",0.465832218123544
"304",0.462792688630462
"305",0.459781038840182
"306",0.456796935874537
"307",0.453840051774437
"308",0.450910063413007
"309",0.448006652410517
"310",0.44512950505106
"311",0.442278312200923
"312",0.439452769228633
"313",0.436652575926619
"314",0.433877436434464
"315",0.431127059163709
"316",0.428401156724169
"317",0.425699445851728
"318",0.423021647337583
"319",0.420367485958901
"320",0.417736690410849
"321",0.415128993239982
"322",0.412544130778947
"323",0.409981843082473
"324",0.407441873864623
"325",0.404923970437278
"326",0.402427883649821
"327",0.399953367830005
"328",0.397500180725963
"329",0.395068083449353
"330",0.39265684041959
"331",0.390266219309169
"332",0.387895990990029
"333",0.385545929480952
"334",0.383215811895966
"335",0.38090541839373
"336",0.378614532127891
"337",0.376342939198374
"338",0.374090428603596
"339",0.371856792193589
"340",0.36964182462399
"341",0.367445323310917
"342",0.365267088386664
"343",0.363106922656244
"344",0.360964631554732
"345",0.358840023105401
"346",0.356732907878634
"347",0.354643098951594
"348",0.352570411868638
"349",0.35051466460246
"350",0.348475677515942
"351",0.346453273324704
"352",0.344447277060339
"353",0.342457516034313
"354",0.340483819802521
"355",0.338526020130484
"356",0.336583950959177
"357",0.334657448371461
"358",0.332746350559134
"359",0.330850497790557
"360",0.328969732378863
"361",0.32710389865074
"362",0.325252842915753
"363",0.323416413436222
"364",0.321594460397628
"365",0.31978683587954
"366",0.317993393827055
"367",0.316213990022735
"368",0.314448482059042
"369",0.312696729311246
"370",0.31095859291081
"371",0.309233935719236
"372",0.307522622302362
"373",0.305824518905104
"374",0.304139493426636
"375",0.302467415395992
"376",0.300808155948089
"377",0.299161587800163
"378",0.2975275852286
"379",0.295906024046167
"380",0.294296781579627
"381",0.29269973664774
"382",0.291114769539619
"383",0.289541761993473
"384",0.287980597175691
"385",0.286431159660281
"386",0.284893335408659
"387",0.283367011749766
"388",0.281852077360526
"389",0.280348422246618
"390",0.278855937723579
"391",0.277374516398207
"392",0.275904052150281
"393",0.274444440114578
"394",0.27299557666318
"395",0.271557359388082
"396",0.270129687084077
"397",0.268712459731916
"398",0.267305578481755
"399",0.265908945636857
"400",0.264522464637569
"401",0.263146040045547
"402",0.261779577528244
"403",0.260422983843648
"404",0.259076166825252
"405",0.257739035367285
"406",0.256411499410158
"407",0.255093469926159
"408",0.253784858905363
"409",0.252485579341775
"410",0.251195545219683
"411",0.249914671500237
"412",0.248642874108229
"413",0.24738006991909
"414",0.246126176746081
"415",0.244881113327697
"416",0.243644799315255
"417",0.242417155260685
"418",0.241198102604504
"419",0.239987563663984
"420",0.238785461621493
"421",0.237591720513025
"422",0.236406265216902
"423",0.235229021442654
"424",0.234059915720064
"425",0.232898875388382
"426",0.231745828585711
"427",0.230600704238542
"428",0.22946343205146
"429",0.228333942496999
"430",0.227212166805655
"431",0.226098036956043
"432",0.224991485665215
"433",0.22389244637911
"434",0.222800853263154
"435",0.221716641193003
"436",0.220639745745417
"437",0.219570103189281
"438",0.218507650476746
"439",0.217452325234515
"440",0.216404065755249
"441",0.215362810989102
"442",0.214328500535388
"443",0.213301074634358
"444",0.212280474159107
"445",0.211266640607601
"446",0.210259516094811
"447",0.209259043344975
"448",0.20826516568396
"449",0.207277827031744
"450",0.206296971895004
"451",0.205322545359809
"452",0.204354493084427
